index original filtered
952 2.43001 2.4616
953 2.3452 2.47412
954 2.42312 2.4858
955 2.57973 2.49665
956 2.63008 2.50664
957 2.52296 2.51579
958 2.40589 2.52408
959 2.43792 2.53152
960 2.58785 2.5381
961 2.6738 2.54382
962 2.59397 2.54868
963 2.45582 2.55267
964 2.43968 2.5558
965 2.57002 2.55807
966 2.68432 2.55946
967 2.63934 2.55999
968 2.49282 2.55966
969 2.43023 2.55845
970 2.52946 2.55638
971 2.66198 2.55344
972 2.65593 2.54964
973 2.51416 2.54497
974 2.41063 2.53944
975 2.46967 2.53305
976 2.60828 2.52581
977 2.64139 2.5177
978 2.51672 2.50875
979 2.38108 2.49894
980 2.39413 2.48829
981 2.5258 2.47679
982 2.59444 2.46445
983 2.49732 2.45128
984 2.34096 2.43728
985 2.30598 2.42245
986 2.41796 2.4068
987 2.51497 2.39034
988 2.45305 2.37307
989 2.28884 2.35499
990 2.20776 2.33611
991 2.28874 2.31645
992 2.40409 2.29599
993 2.38151 2.27476
994 2.22273 2.25276
995 2.10129 2.23
996 2.1424 2.20648
997 2.26406 2.18221
998 2.28113 2.1572
999 2.14023 2.13147
1000 1.98749 2.10501
1001 1.98313 2.07783
1002 2.09823 2.04996
1003 2.15138 2.02138
1004 2.03891 1.99213
1005 1.86641 1.9622
1006 1.81477 1.9316
1007 1.91071 1.90035
1008 1.99285 1.86845
1009 1.91653 1.83592
1010 1.73731 1.80277
1011 1.64054 1.76901
1012 1.70617 1.73465
1013 1.80735 1.6997
1014 1.77138 1.66418
1015 1.59883 1.62809
1016 1.46286 1.59145
1017 1.4895 1.55427
1018 1.5978 1.51657
1019 1.60252 1.47835
1020 1.44919 1.43963
1021 1.28324 1.40042
1022 1.26549 1.36074
1023 1.36812 1.32059
